slug,date,open,high,low,close,volume,market_cap,symbol,name
tezos,2019-12-04,1.29,1.32,1.25,1.25,46048752,824588509,XTZ,Tezos (Pre-Launch)
tezos,2019-12-03,1.24,1.32,1.21,1.29,41462224,853213342,XTZ,Tezos (Pre-Launch)
tezos,2019-12-02,1.25,1.26,1.2,1.24,27574097,817872179,XTZ,Tezos (Pre-Launch)
tezos,2019-12-01,1.33,1.34,1.25,1.25,24127567,828296390,XTZ,Tezos (Pre-Launch)
tezos,2019-11-30,1.31,1.37,1.31,1.33,28706667,879181680,XTZ,Tezos (Pre-Launch)
tezos,2019-11-29,1.28,1.34,1.28,1.31,32270224,867085098,XTZ,Tezos (Pre-Launch)
tezos,2019-11-28,1.26,1.35,1.22,1.28,44240281,845073679,XTZ,Tezos (Pre-Launch)
tezos,2019-11-27,1.24,1.27,1.16,1.26,47723271,829672736,XTZ,Tezos (Pre-Launch)
tezos,2019-11-26,1.24,1.28,1.23,1.24,54828808,822065277,XTZ,Tezos (Pre-Launch)
tezos,2019-11-25,1.33,1.33,1.21,1.24,64954006,815688075,XTZ,Tezos (Pre-Launch)
tezos,2019-11-24,1.4,1.42,1.31,1.34,49206070,887731654,XTZ,Tezos (Pre-Launch)
tezos,2019-11-23,1.22,1.42,1.22,1.39,123832790,920735790,XTZ,Tezos (Pre-Launch)
tezos,2019-11-22,1.21,1.28,1.08,1.22,69312275,804427044,XTZ,Tezos (Pre-Launch)
tezos,2019-11-21,1.21,1.29,1.18,1.21,53020027,800257863,XTZ,Tezos (Pre-Launch)
tezos,2019-11-20,1.22,1.25,1.17,1.21,33605071,801174969,XTZ,Tezos (Pre-Launch)
tezos,2019-11-19,1.23,1.25,1.15,1.22,35796763,805231584,XTZ,Tezos (Pre-Launch)
tezos,2019-11-18,1.16,1.26,1.16,1.23,37602915,813744878,XTZ,Tezos (Pre-Launch)
tezos,2019-11-17,1.16,1.18,1.15,1.16,22483167,767707353,XTZ,Tezos (Pre-Launch)
tezos,2019-11-16,1.17,1.18,1.16,1.16,26689028,768303560,XTZ,Tezos (Pre-Launch)
tezos,2019-11-15,1.22,1.26,1.15,1.17,32203363,773992543,XTZ,Tezos (Pre-Launch)
tezos,2019-11-14,1.13,1.3,1.11,1.22,41978349,808582829,XTZ,Tezos (Pre-Launch)
tezos,2019-11-13,1.17,1.17,1.12,1.13,23410839,746750215,XTZ,Tezos (Pre-Launch)
tezos,2019-11-12,1.18,1.2,1.15,1.17,23591140,771905281,XTZ,Tezos (Pre-Launch)
tezos,2019-11-11,1.23,1.24,1.17,1.18,25012739,776358941,XTZ,Tezos (Pre-Launch)
tezos,2019-11-10,1.25,1.25,1.19,1.23,31134799,812505004,XTZ,Tezos (Pre-Launch)
tezos,2019-11-09,1.17,1.26,1.15,1.24,34760712,819630519,XTZ,Tezos (Pre-Launch)
tezos,2019-11-08,1.22,1.28,1.12,1.17,44195683,770094896,XTZ,Tezos (Pre-Launch)
tezos,2019-11-07,1.02,1.44,1.02,1.22,92805360,805246128,XTZ,Tezos (Pre-Launch)
tezos,2019-11-06,0.927547,1.05,0.902417,1.02,26095931,673756212,XTZ,Tezos (Pre-Launch)
tezos,2019-11-05,0.891802,0.929289,0.877752,0.927137,13420498,612256490,XTZ,Tezos (Pre-Launch)
tezos,2019-11-04,0.868023,0.907127,0.8646,0.891802,16511023,588922638,XTZ,Tezos (Pre-Launch)
tezos,2019-11-03,0.865785,0.874167,0.848911,0.868879,11444717,573784519,XTZ,Tezos (Pre-Launch)
tezos,2019-11-02,0.878443,0.886302,0.857435,0.865528,9944483,571571532,XTZ,Tezos (Pre-Launch)
tezos,2019-11-01,0.889461,0.891029,0.863507,0.877941,12684201,579768933,XTZ,Tezos (Pre-Launch)
tezos,2019-10-31,0.914068,0.924062,0.873981,0.890512,13120625,588070905,XTZ,Tezos (Pre-Launch)
tezos,2019-10-30,0.878168,0.969414,0.774601,0.914079,23084998,603633344,XTZ,Tezos (Pre-Launch)
tezos,2019-10-29,0.871995,0.917937,0.82545,0.878892,19713852,580397277,XTZ,Tezos (Pre-Launch)
tezos,2019-10-28,0.879748,0.928777,0.768318,0.875315,24337121,578034790,XTZ,Tezos (Pre-Launch)
tezos,2019-10-27,0.836378,0.890216,0.688631,0.875154,23186370,577928349,XTZ,Tezos (Pre-Launch)
tezos,2019-10-26,0.833823,0.92603,0.818766,0.831994,20293463,549426804,XTZ,Tezos (Pre-Launch)
tezos,2019-10-25,0.767532,0.842798,0.762231,0.834757,16862309,551251771,XTZ,Tezos (Pre-Launch)
tezos,2019-10-24,0.761316,0.780364,0.754028,0.768243,14425427,507327662,XTZ,Tezos (Pre-Launch)
tezos,2019-10-23,0.838904,0.839336,0.755143,0.761316,14131553,502752829,XTZ,Tezos (Pre-Launch)
tezos,2019-10-22,0.870816,0.879914,0.833186,0.838575,11567380,553772790,XTZ,Tezos (Pre-Launch)
tezos,2019-10-21,0.877297,0.889119,0.866837,0.871432,11434852,575470528,XTZ,Tezos (Pre-Launch)
tezos,2019-10-20,0.86545,0.884321,0.861892,0.877438,9297806,579437174,XTZ,Tezos (Pre-Launch)
tezos,2019-10-19,0.879461,0.890271,0.861758,0.865266,10127092,571399102,XTZ,Tezos (Pre-Launch)
tezos,2019-10-18,0.895843,0.898314,0.869977,0.877796,10666948,579673087,XTZ,Tezos (Pre-Launch)
tezos,2019-10-17,0.876521,0.899669,0.872991,0.895843,11185558,591591209,XTZ,Tezos (Pre-Launch)
tezos,2019-10-16,0.909666,0.913004,0.861378,0.876968,12766002,579126752,XTZ,Tezos (Pre-Launch)
tezos,2019-10-15,0.939501,0.961195,0.902323,0.907378,17300340,599208238,XTZ,Tezos (Pre-Launch)
